#timestamp x y z q_x q_y q_z q_w
1776995284.127563000 -12.251036644 -14.421229362 -0.047881268 0.004073905 -0.012837816 -0.998045948 0.061015399
1776995285.136165380 -13.393934250 -14.549100876 -0.038561612 0.007851475 -0.015044812 -0.997717656 0.065356618
1776995286.144772291 -14.535346985 -14.679838181 -0.044540770 0.005377208 -0.015735481 -0.997915161 0.062360336
1776995287.153367043 -15.687681198 -14.831204414 -0.053856514 0.005020266 -0.016546819 -0.995949272 0.088238587
1776995288.161960602 -16.846240997 -15.015653610 -0.052250516 0.004054099 -0.015444419 -0.997082454 0.074643250
1776995289.170740843 -18.048875809 -15.176272392 -0.056234743 0.004361163 -0.015861104 -0.998014370 0.060800689
1776995290.179168463 -19.226522446 -15.312216759 -0.077982463 0.002640189 -0.017708163 -0.997785558 0.064058018
1776995291.187765598 -20.256938934 -15.518432617 -0.044873476 0.003026093 -0.015723652 -0.998616193 0.050093000
1776995291.994650602 -21.268388748 -15.553641319 -0.049598310 0.004146058 -0.015877544 -0.997582383 0.067528529
1776995293.003236771 -22.374769211 -15.700608253 -0.051409181 0.003461111 -0.012886488 -0.997242675 0.073000041
1776995294.011845350 -23.544406891 -15.831397057 -0.040631007 0.003595291 -0.015552871 -0.998512978 0.052124984
1776995295.020434856 -24.759775162 -15.903395653 -0.043098159 0.002372992 -0.016753498 -0.999250393 0.034818691
1776995296.029042721 -25.907270432 -15.996864319 -0.050827909 0.001415147 -0.015937063 -0.998323907 0.055618204
1776995297.037633896 -27.090538025 -16.125278473 -0.064836375 0.000096361 -0.019483055 -0.998095865 0.058523895
1776995298.046246052 -28.255731583 -16.249166489 -0.054105137 0.001124326 -0.016574551 -0.997958175 0.061672528
1776995299.054842472 -29.377620697 -16.378620148 -0.042309359 -0.000540132 -0.015303583 -0.997114832 0.074347302
1776995300.063436985 -30.504417419 -16.551824570 -0.052146584 0.000261066 -0.017977452 -0.996288267 0.084180946
1776995301.072041512 -31.629896164 -16.698457718 -0.036091715 0.000586690 -0.021973429 -0.998069135 0.058093251
1776995302.080629349 -32.641319275 -16.757190704 -0.069370851 -0.000955931 -0.006302692 0.998700823 0.050557170
1776995302.484114647 -33.057014465 -16.683330536 -0.075480327 0.002519308 -0.001799674 0.987890712 0.155120456
1776995302.887518167 -33.429267883 -16.512062073 -0.038937792 0.006551090 0.000298073 0.960352131 0.278712716
1776995303.290949583 -33.778003693 -16.213579178 -0.030394347 0.004004824 -0.001048673 0.912886770 0.408191875
1776995303.694403648 -34.033107758 -15.868245125 -0.034247469 0.005603542 0.001789370 0.861980606 0.506907125
1776995304.299545765 -34.208995819 -15.331510544 -0.036615543 0.004217682 0.003123642 0.783025866 0.621966998
1776995305.913313866 -34.317676544 -14.237385750 -0.101573408 0.012597773 0.003791839 0.749477701 0.661898855
1776995306.921902180 -34.453689575 -13.028452873 -0.085725531 0.017594343 0.009793680 0.746304743 0.665299747
1776995307.930505037 -34.583251953 -11.911355972 -0.060557492 0.015362156 0.005955041 0.748602117 0.662814764
1776995308.939109325 -34.720008850 -10.751701355 -0.040307608 0.012581124 0.006266549 0.756952221 0.653319050
1776995309.947717190 -34.865982056 -9.624216080 -0.005152446 0.013828780 0.008789995 0.743439463 0.668602472
1776995310.956323624 -34.979068756 -8.448949814 -0.023426296 0.013176781 0.004258286 0.742379806 0.669836146
1776995311.964906216 -35.106334686 -7.280554295 0.006132524 0.011804289 0.005846151 0.757496648 0.652706143
1776995312.973513365 -35.282775879 -6.114402294 -0.000600936 0.013866733 0.003095570 0.754451541 0.656201954
1776995313.982105017 -35.397380829 -4.983452320 0.044417728 0.013239074 0.002572381 0.742637275 0.669558054
1776995314.990745306 -35.487525940 -3.848951101 0.070870005 0.015733832 0.004357663 0.736117547 0.676656792
1776995315.999303341 -35.580745697 -2.648438931 0.087410659 0.015196609 0.003276058 0.748404903 0.663059900
1776995317.007898331 -35.742321014 -1.451604247 0.108454391 0.013211923 0.003889662 0.753483560 0.657322478
1776995317.814777374 -35.874542236 -0.450485051 0.127222359 0.013613972 0.004310911 0.753762378 0.656991898
1776995318.823379517 -35.972339630 0.584612489 0.156485811 0.007278886 -0.000904344 0.745349447 0.666633634
1776995319.831984520 -36.101520538 1.788278341 0.179443136 0.005212189 -0.004234505 0.750189107 0.661189236
1776995320.840585709 -36.244468689 2.857020378 0.200253069 -0.000340941 -0.011874609 0.746868670 0.664865450
1776995321.849172592 -36.360729218 4.036116123 0.210967109 0.000730869 -0.012388280 0.749956173 0.661371102
1776995322.857781410 -36.490543365 5.209922314 0.240753770 0.003458052 -0.009589007 0.749760503 0.661630774
1776995323.866390228 -36.641891479 6.242811203 0.238545150 -0.000739438 -0.015811332 0.754954817 0.655585753
1776995324.874993801 -36.775444031 7.413512707 0.269334972 0.001151822 -0.015339294 0.746130752 0.665621724
1776995325.883581638 -36.901954651 8.585552216 0.324425071 0.005629541 -0.009634521 0.745382382 0.666543764
1776995326.892190456 -37.007652283 9.733175278 0.351492196 -0.000216039 -0.011964455 0.746753384 0.664993375
1776995327.900788307 -37.135135651 10.929604530 0.377688676 0.002186883 -0.010779156 0.746419781 0.665384504
1776995328.909393311 -37.291339874 12.111104965 0.402479798 0.003001527 -0.013178296 0.757006648 0.653267372
1776995329.917969704 -37.438144684 13.307313919 0.411795080 0.000118262 -0.017661569 0.752137173 0.658769859
1776995330.926588535 -37.571056366 14.508854866 0.463828266 0.000327243 -0.016947099 0.742827701 0.669268030
1776995331.935184240 -37.700130463 15.731451035 0.493490100 0.001013208 -0.015815108 0.747344404 0.664247843
1776995332.943768501 -37.827404022 16.864103317 0.519221067 0.000322685 -0.014078716 0.752913476 0.657968832
1776995333.952373743 -37.991085052 17.911058426 0.541449130 0.006351390 -0.008422548 0.772947635 0.634382120
1776995334.960970402 -38.179561615 19.046182632 0.539804816 0.004335530 -0.014953826 0.760629901 0.648999029
1776995335.969576597 -38.309967041 20.215843201 0.549491882 0.001998610 -0.018459144 0.735473629 0.677298905
1776995336.978531361 -38.408683777 21.357395172 0.613611579 0.002318478 -0.015972030 0.747282088 0.664310921
1776995337.986785889 -38.561809540 22.541793823 0.636222184 0.005529301 -0.012583763 0.761990115 0.647442770
1776995338.995382309 -38.741104126 23.692409515 0.653883874 -0.000081760 -0.023980101 0.715834375 0.697858220
1776995339.398797512 -38.711448669 24.103273392 0.670961559 0.003949732 -0.024789551 0.639521877 0.768362966
1776995339.802258968 -38.509117126 24.598667145 0.696617126 0.006467675 -0.021512327 0.508320590 0.860874885
1776995340.205700397 -38.288711548 24.850597382 0.740444064 0.009039485 -0.018189741 0.373852051 0.927265908
1776995340.609119415 -38.054412842 24.977216721 0.750353694 0.012825039 -0.016526148 0.240005656 0.970546078
1776995341.012583256 -37.720249176 25.042224884 0.768849671 0.015034062 -0.011333562 0.132154418 0.991050320
1776995342.222877979 -36.541145325 25.221378326 0.792371452 0.026481854 -0.014851636 0.052956250 0.998135149
1776995343.231508493 -35.397811890 25.342054367 0.824145377 0.026227284 -0.015619554 0.055002285 0.998019493
1776995344.240100145 -34.255596161 25.464611053 0.848959684 0.025645702 -0.017650165 0.061770465 0.997604721
1776995345.248682022 -33.103660583 25.602754593 0.875176430 0.024521749 -0.016870821 0.061155325 0.997684362
1776995346.257270813 -31.904685974 25.745258331 0.939861536 0.024176154 -0.016256355 0.074804815 0.996772534
1776995347.265886068 -30.691949844 25.914133072 0.968985915 0.031417905 -0.016386820 0.082887475 0.995928739
1776995348.274501324 -29.532691956 26.074844360 0.987338841 0.028221240 -0.019723406 0.057833883 0.997732324
1776995349.283084393 -28.323070526 26.191373825 1.047879934 0.023539618 -0.019606048 0.060227415 0.997714462
1776995350.291676998 -27.131357193 26.312496185 1.088479161 0.025213792 -0.018372609 0.066979611 0.997266486
1776995351.300349712 -25.976715088 26.463973999 1.145527005 0.025666468 -0.017277027 0.066796823 0.997286780
1776995352.107166767 -24.984525681 26.593732834 1.165855885 0.031459239 -0.018722427 0.077450067 0.996323880
1776995352.914037704 -23.968044281 26.752544403 1.214603782 0.034532381 -0.019332900 0.092726908 0.994904756
1776995353.922627449 -22.775630951 26.928039551 1.268063664 0.034188443 -0.019508692 0.068844923 0.996850509
1776995354.931246281 -21.564260483 27.062049866 1.313964844 0.024126361 -0.018968187 0.057074075 0.997898129
1776995355.939837694 -20.409641266 27.186286926 1.344858408 0.028503974 -0.022100699 0.060917836 0.997490902
1776995356.948443890 -19.209426880 27.334724426 1.382229447 0.028852737 -0.023343427 0.079089780 0.996176395
