#timestamp x y z q_x q_y q_z q_w
1716.867632800 -5.109185219 -7.255755901 0.211473614 -0.011154037 0.014622730 0.008504253 0.999794699
1717.876235376 -4.041257858 -7.244467258 0.187855408 -0.011536751 0.013664339 0.005290873 0.999826083
1718.884838736 -3.014723539 -7.252966881 0.161957219 -0.009055263 0.012073550 -0.007115024 0.999860794
1720.095161696 -1.836740851 -7.268929005 0.151544496 -0.010595654 0.011536174 -0.003601401 0.999870831
1721.103881968 -0.915746093 -7.186466694 0.112841137 -0.010206240 0.013366152 0.119186618 0.992729434
1721.507205056 -0.593012094 -7.084163189 0.123119578 -0.009305922 0.015298199 0.218712337 0.975625071
1721.910646880 -0.348396063 -6.910338402 0.119543567 -0.008644330 0.016683322 0.354788581 0.934757725
1722.314087488 -0.193710715 -6.760490894 0.119153164 -0.006670067 0.016427917 0.497686002 0.867176036
1722.717517776 -0.119442135 -6.627671719 0.109226748 -0.006044069 0.017449211 0.625316385 0.780152814
1723.120953440 -0.096810319 -6.582772255 0.104272805 -0.005132964 0.016594735 0.702012091 0.711953153
